"district","candidate_placement","candidate_name","candidate_answer_status","candidate_photo_url","candidate_url","done","party"
"Norðaustur",5,"Helena Þ. Karlsdóttir","cand not","","/kosningar2013/frambod/fulltrui/Helena-TH-Karlsdottir/",0,"Samfylkingin"
"Norðaustur",1,"Sigmundur Davíð Gunnlaugsson","cand not","","/kosningar2013/frambod/fulltrui/Sigmundur-David-Gunnlaugsson/",0,"Framsóknarflokkurinn"
"Norðaustur",2,"Höskuldur  Þórhallsson","cand not","","/kosningar2013/frambod/fulltrui/Hoskuldur-THorhallsson/",0,"Framsóknarflokkurinn"
"Norðaustur",3,"Líneik Anna Sævarsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Lineik-Anna-Saevarsdottir/",1,"Framsóknarflokkurinn"
"Norðaustur",4,"Þórunn Egilsdóttir","cand not","","/kosningar2013/frambod/fulltrui/THorunn-Egilsdottir/",0,"Framsóknarflokkurinn"
"Norðaustur",5,"Hjálmar Bogi Hafliðason","cand ok","","/kosningar2013/frambod/fulltrui/Hjalmar-Bogi-Haflidason/",1,"Framsóknarflokkurinn"
"Norðaustur",1,"Steingrímur J. Sigfússon","cand ok","","/kosningar2013/frambod/fulltrui/Steingrimur-J-Sigfusson/",1,"Vinstri græn"
"Norðaustur",2,"Bjarkey Olsen Gunnarsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Bjarkey-Olsen-Gunnarsdottir/",1,"Vinstri græn"
"Norðaustur",3,"Edward H. Huijbens","cand ok","","/kosningar2013/frambod/fulltrui/Edward-H-Huijbens/",1,"Vinstri græn"
"Norðaustur",4,"Ingibjörg Þórðardóttir","cand ok","","/kosningar2013/frambod/fulltrui/Ingibjorg-THordardottir/",1,"Vinstri græn"
"Norðaustur",5,"Björn Halldórsson","cand ok","","/kosningar2013/frambod/fulltrui/Bjorn-Halldorsson/",1,"Vinstri græn"
"Norðaustur",1,"Sigríður Stefánsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Sigridur-Stefansdottir/",1,"Lýðræðisvaktin"
"Norðaustur",2,"Þórður Már Jónsson","cand ok","","/kosningar2013/frambod/fulltrui/THordur-Mar-Jonsson/",1,"Lýðræðisvaktin"
"Norðaustur",3,"Viðir Benediktsson","cand ok","","/kosningar2013/frambod/fulltrui/Vidir-Benediktsson/",1,"Lýðræðisvaktin"
"Norðaustur",4,"Sigríður Lára Sigurjónsdóttir","cand not","","/kosningar2013/frambod/fulltrui/Sigridur-Lara-Sigurjonsdottir/",0,"Lýðræðisvaktin"
"Norðaustur",5,"Oddur Sigurðsson","cand not","","/kosningar2013/frambod/fulltrui/Oddur-Sigurdsson/",0,"Lýðræðisvaktin"
"Norðaustur",1,"Aðalheiður Ámundadóttir","cand ok","","/kosningar2013/frambod/fulltrui/Adalheidur-Amundadottir/",1,"Píratar"
"Norðaustur",2,"Þórgnýr Thoroddsen","cand ok","","/kosningar2013/frambod/fulltrui/THorgnyr-Thoroddsen/",1,"Píratar"
"Norðaustur",3,"Helgi Laxdal","cand ok","","/kosningar2013/frambod/fulltrui/Helgi-Laxdal/",1,"Píratar"
"Norðaustur",4,"Kristín Elfa Guðnadóttir","cand ok","","/kosningar2013/frambod/fulltrui/Kristin-Elfa-Gudnadottir/",1,"Píratar"
"Norðaustur",5,"Bjarki Sigursveinsson","cand ok","","/kosningar2013/frambod/fulltrui/Bjarki-Sigursveinsson/",1,"Píratar"
"Norðaustur",1,"Magnús Þórarinn Thorlacius","cand ok","","/kosningar2013/frambod/fulltrui/magnus-thorarinn-thorlacius/",1,"Hægri Grænir"
"Norðaustur",2,"Kolbeinn Aðalsteinsson","cand ok","","/kosningar2013/frambod/fulltrui/kolbeinn-adalsteinsson/",1,"Hægri Grænir"
"Norðaustur",3,"Oddur Andri Thomasson Ahrens","cand ok","","/kosningar2013/frambod/fulltrui/oddur-andri-thomasson-ahrens/",1,"Hægri Grænir"
"Norðaustur",4,"Sigurður Hrafn Sigurðsson","cand ok","","/kosningar2013/frambod/fulltrui/sigurdur-hrafn-sigurdsson/",1,"Hægri Grænir"
"Norðaustur",5,"Jóhann Grétar Krøyer Gizurarson","cand not","","/kosningar2013/frambod/fulltrui/johann-gretar-kryer-gizurarson/",0,"Hægri Grænir"
"Reykjavík suður",1,"Vésteinn Valgarðsson","cand ok","","/kosningar2013/frambod/fulltrui/vesteinn-valgardsson/",1,"Alþýðufylkingin"
"Reykjavík suður",2,"Helga Arnardóttir","cand ok","","/kosningar2013/frambod/fulltrui/helga-arnardottir/",1,"Alþýðufylkingin"
"Reykjavík suður",3,"Kristján Jónasson","cand ok","","/kosningar2013/frambod/fulltrui/kristjan-jonasson/",1,"Alþýðufylkingin"
"Reykjavík suður",4,"Tinna Þorvaldsdóttir Önnudóttir","cand ok","","/kosningar2013/frambod/fulltrui/tinna-thorvaldsdottir-onnudottir/",1,"Alþýðufylkingin"
"Reykjavík suður",5,"Einar Andrésson","cand ok","","/kosningar2013/frambod/fulltrui/einar-andresson/",1,"Alþýðufylkingin"
"Reykjavík suður",1,"Halldór Gunnarsson","cand ok","","/kosningar2013/frambod/fulltrui/halldor-gunnarsson/",1,"Flokkur heimilanna"
"Reykjavík suður",2,"Ásgerður Jóna Flosadóttir","cand ok","","/kosningar2013/frambod/fulltrui/asgerdur-jona-flosadottir/",1,"Flokkur heimilanna"
"Reykjavík suður",3,"Sigurbjörn Svavarsson","cand ok","","/kosningar2013/frambod/fulltrui/sigurbjorn-svavarsson/",1,"Flokkur heimilanna"
"Reykjavík suður",4,"Sigrún Viðarsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/sigrun-vidarsdottir/",1,"Flokkur heimilanna"
"Reykjavík suður",5,"Jón Steindór Þorsteinsson","cand ok","","/kosningar2013/frambod/fulltrui/jon-steindor-thorsteinsson/",1,"Flokkur heimilanna"
"Reykjavík suður",1,"Friðrik Atlason","cand ok","","/kosningar2013/frambod/fulltrui/fridrik-atlason/",1,"Regnboginn"
"Reykjavík suður",2,"Sædís Ósk Harðardóttir","cand ok","","/kosningar2013/frambod/fulltrui/saedis-osk-hardardottir/",1,"Regnboginn"
"Reykjavík suður",3,"Ágúst Valves Jóhannesson","cand ok","","/kosningar2013/frambod/fulltrui/agust-valves-johannesson/",1,"Regnboginn"
"Reykjavík suður",4,"Erna Bjarnadóttir","cand not","","/kosningar2013/frambod/fulltrui/erna-bjarnadottir/",0,"Regnboginn"
"Reykjavík suður",5,"Harpa Karlsdóttir","cand not","","/kosningar2013/frambod/fulltrui/harpa-karlsdottir/",0,"Regnboginn"
"Reykjavík suður",1,"Þórður Björn Sigurðsson","cand ok","","/kosningar2013/frambod/fulltrui/THordur-Bjorn-Sigurdsson/",1,"Dögun"
"Reykjavík suður",2,"Helga Þórðardóttir","cand ok","","/kosningar2013/frambod/fulltrui/Helga-THordardottir/",1,"Dögun"
"Reykjavík suður",3,"Rannveig Óskarsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Rannveig-Oskarsdottir/",1,"Dögun"
"Reykjavík suður",4,"Sigurður Jónas Eggertsson","cand ok","","/kosningar2013/frambod/fulltrui/Sigurdur-Jonas-Eggertsson/",1,"Dögun"
"Reykjavík suður",5,"Hugrún Steinunn Guðmundsdóttir","cand not","","/kosningar2013/frambod/fulltrui/Hugrun-Steinunn-Gudmundsdottir/",0,"Dögun"
"Reykjavík suður",1,"Róbert Marshall","cand ok","","/kosningar2013/frambod/fulltrui/Robert-Marshall/",1,"Björt framtíð"
"Reykjavík suður",2,"Óttarr Proppé","cand ok","","/kosningar2013/frambod/fulltrui/Ottarr-Proppe/",1,"Björt framtíð"
"Reykjavík suður",3,"Brynhildur S. Björnsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Brynhildur-S-Bjornsdottir/",1,"Björt framtíð"
"Reykjavík suður",4,"Sigrún Gunnarsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Sigrun-Gunnarsdottir/",1,"Björt framtíð"
"Reykjavík suður",5,"Tryggvi Haraldsson","cand ok","","/kosningar2013/frambod/fulltrui/Tryggvi-Haraldsson/",1,"Björt framtíð"
"Reykjavík suður",1,"Hanna Birna Kristjánsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Hanna-Birna-Kristjansdottir/",1,"Sjálfstæðisflokkurinn"
"Reykjavík suður",2,"Pétur H. Blöndal","cand ok","","/kosningar2013/frambod/fulltrui/Petur-H-Blondal/",1,"Sjálfstæðisflokkurinn"
"Reykjavík suður",3,"Guðlaugur Þór Þórðarson","cand not","","/kosningar2013/frambod/fulltrui/Gudlaugur-THor-THordarson/",0,"Sjálfstæðisflokkurinn"
"Reykjavík suður",4,"Sigríður Á. Andersen","cand ok","","/kosningar2013/frambod/fulltrui/Sigridur-A-Andersen/",1,"Sjálfstæðisflokkurinn"
"Reykjavík suður",5,"Áslaug María Friðriksdóttir","cand not","","/kosningar2013/frambod/fulltrui/Aslaug-Maria-Fridriksdottir/",0,"Sjálfstæðisflokkurinn"
"Reykjavík suður",1,"Sigríður Ingibjörg Ingadóttir","cand ok","","/kosningar2013/frambod/fulltrui/Sigridur-Ingibjorg-Ingadottir/",1,"Samfylkingin"
"Reykjavík suður",2,"Helgi Hjörvar","cand ok","","/kosningar2013/frambod/fulltrui/Helgi-Hjorvar/",1,"Samfylkingin"
"Reykjavík suður",3,"Björk Vilhelmsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Bjork-Vilhelmsdottir/",1,"Samfylkingin"
"Reykjavík suður",4,"Mörður Árnason","cand ok","","/kosningar2013/frambod/fulltrui/Mordur-Arnason/",1,"Samfylkingin"
"Reykjavík suður",5,"Ósk Vilhjálmsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Osk-Vilhjalmsdottir/",1,"Samfylkingin"
"Reykjavík suður",1,"Vigdís Hauksdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Vigdis-Hauksdottir/",1,"Framsóknarflokkurinn"
"Reykjavík suður",2,"Karl Garðarsson","cand ok","","/kosningar2013/frambod/fulltrui/Karl-Gardarsson/",1,"Framsóknarflokkurinn"
"Reykjavík suður",3,"Sveinbjörg Birna Sveinbjörnsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Sveinbjorg-Birna-Sveinbjornsdottir/",1,"Framsóknarflokkurinn"
"Reykjavík suður",4,"Jóhanna Kristín Björnsdóttir","cand not","","/kosningar2013/frambod/fulltrui/Johanna-Kristin-Bjornsdottir/",0,"Framsóknarflokkurinn"
"Reykjavík suður",5,"Hafsteinn Ágústsson","cand ok","","/kosningar2013/frambod/fulltrui/Hafsteinn-Agustsson/",1,"Framsóknarflokkurinn"
"Reykjavík suður",1,"Svandís Svavarsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Svandis-Svavarsdottir/",1,"Vinstri græn"
"Reykjavík suður",2,"Álfheiður Ingadóttir","cand ok","","/kosningar2013/frambod/fulltrui/Alfheidur-Ingadottir/",1,"Vinstri græn"
"Reykjavík suður",3,"Ingimar Karl Helgason","cand ok","","/kosningar2013/frambod/fulltrui/Ingimar-Karl-Helgason/",1,"Vinstri græn"
"Reykjavík suður",4,"Kristinn Schram","cand ok","","/kosningar2013/frambod/fulltrui/Kristinn-Schram/",1,"Vinstri græn"
"Reykjavík suður",5,"Grímur Atlason","cand ok","","/kosningar2013/frambod/fulltrui/Grimur-Atlason/",1,"Vinstri græn"
"Reykjavík suður",1,"Þórhildur Þorleifsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/THorhildur-THorleifsdottir/",1,"Lýðræðisvaktin"
"Reykjavík suður",2,"Örn Bárður Jónsson","cand ok","","/kosningar2013/frambod/fulltrui/Orn-Bardur-Jonsson/",1,"Lýðræðisvaktin"
"Reykjavík suður",3,"Íris Erlingsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Iris-Erlingsdottir/",1,"Lýðræðisvaktin"
"Reykjavík suður",4,"Guðbjörn Guðbjörnsson","cand ok","","/kosningar2013/frambod/fulltrui/Gudbjorn-Gudbjornsson/",1,"Lýðræðisvaktin"
"Reykjavík suður",5,"Jónas Guðmundsson","cand ok","","/kosningar2013/frambod/fulltrui/Jonas-Gudmundsson/",1,"Lýðræðisvaktin"
"Reykjavík suður",1,"Jón Þór Ólafsson","cand ok","","/kosningar2013/frambod/fulltrui/Jon-THor-Olafsson/",1,"Píratar"
"Reykjavík suður",2,"Ásta Helgadóttir","cand ok","","/kosningar2013/frambod/fulltrui/Asta-Helgadottir/",1,"Píratar"
